DeliveryID,OrderID,DeliveryPersonID,DeliveryStatus,EstimatedDeliveryTime,ActualDeliveryTime,CreatedAt
1,1,7,delivered,2024-12-04 07:01:14,2024-12-04 09:01:14,2024-12-04 01:01:14
2,2,25,delivered,2025-01-20 00:14:45,2025-01-20 03:14:45,2025-01-19 18:14:45
3,3,9,delivered,2024-11-12 19:02:14,2024-11-12 19:02:14,2024-11-12 14:02:14
4,4,8,out for delivery,2024-09-18 03:51:03,2024-09-18 04:51:03,2024-09-17 23:51:03
5,5,5,delivered,2024-05-04 10:13:45,2024-05-04 10:13:45,2024-05-04 05:13:45
6,6,14,assigned,2024-12-18 03:04:59,2024-12-18 06:04:59,2024-12-17 22:04:59
7,7,50,out for delivery,2025-02-11 09:51:20,2025-02-11 12:51:20,2025-02-11 03:51:20
8,8,27,assigned,2024-07-10 19:30:20,2024-07-10 19:30:20,2024-07-10 15:30:20
9,9,26,out for delivery,2024-09-26 01:17:44,2024-09-26 04:17:44,2024-09-25 23:17:44
10,10,23,delivered,2024-10-29 17:15:13,2024-10-29 20:15:13,2024-10-29 15:15:13
11,11,49,assigned,2025-02-18 11:40:03,2025-02-18 11:40:03,2025-02-18 07:40:03
12,12,9,delivered,2024-06-29 02:25:58,2024-06-29 04:25:58,2024-06-29 00:25:58
13,13,17,assigned,2024-10-20 23:21:12,2024-10-21 00:21:12,2024-10-20 18:21:12
14,14,4,out for delivery,2024-07-31 01:26:19,2024-07-31 04:26:19,2024-07-30 22:26:19
15,15,34,delivered,2024-09-22 14:38:56,2024-09-22 14:38:56,2024-09-22 11:38:56
16,16,11,out for delivery,2024-05-30 11:02:22,2024-05-30 13:02:22,2024-05-30 05:02:22
17,17,5,assigned,2024-09-29 09:49:24,2024-09-29 10:49:24,2024-09-29 03:49:24
18,18,47,delivered,2025-01-15 01:57:30,2025-01-15 03:57:30,2025-01-14 22:57:30
19,19,28,assigned,2024-10-10 07:22:47,2024-10-10 08:22:47,2024-10-10 04:22:47
20,20,3,out for delivery,2025-03-23 20:30:46,2025-03-23 20:30:46,2025-03-23 15:30:46
21,21,36,assigned,2024-05-28 09:34:20,2024-05-28 11:34:20,2024-05-28 04:34:20
22,22,50,delivered,2024-12-15 21:19:45,2024-12-15 21:19:45,2024-12-15 15:19:45
23,23,10,out for delivery,2025-04-05 20:18:26,2025-04-05 23:18:26,2025-04-05 14:18:26
24,24,31,out for delivery,2024-11-15 06:44:44,2024-11-15 09:44:44,2024-11-15 01:44:44
25,25,38,delivered,2024-12-11 09:28:53,2024-12-11 10:28:53,2024-12-11 07:28:53
26,26,14,assigned,2024-05-21 08:07:58,2024-05-21 09:07:58,2024-05-21 06:07:58
27,27,24,assigned,2024-06-20 17:05:03,2024-06-20 19:05:03,2024-06-20 11:05:03
28,28,33,out for delivery,2024-08-16 15:13:17,2024-08-16 16:13:17,2024-08-16 12:13:17
29,29,43,out for delivery,2024-10-02 08:23:15,2024-10-02 09:23:15,2024-10-02 06:23:15
30,30,36,delivered,2024-06-27 22:07:49,2024-06-27 22:07:49,2024-06-27 20:07:49
31,31,20,assigned,2024-04-11 13:57:30,2024-04-11 16:57:30,2024-04-11 11:57:30
32,32,48,delivered,2024-06-07 17:57:57,2024-06-07 20:57:57,2024-06-07 12:57:57
33,33,19,assigned,2024-10-29 12:57:01,2024-10-29 13:57:01,2024-10-29 09:57:01
34,34,44,out for delivery,2025-01-10 13:21:33,2025-01-10 16:21:33,2025-01-10 09:21:33
35,35,50,out for delivery,2024-05-11 18:54:44,2024-05-11 18:54:44,2024-05-11 14:54:44
36,36,35,out for delivery,2025-01-28 09:59:07,2025-01-28 11:59:07,2025-01-28 07:59:07
37,37,24,out for delivery,2024-04-21 11:48:45,2024-04-21 13:48:45,2024-04-21 06:48:45
38,38,31,out for delivery,2024-11-08 17:29:59,2024-11-08 18:29:59,2024-11-08 11:29:59
39,39,35,delivered,2024-09-25 22:18:12,2024-09-25 23:18:12,2024-09-25 18:18:12
40,40,11,assigned,2025-01-24 22:29:52,2025-01-25 00:29:52,2025-01-24 17:29:52
41,41,2,delivered,2024-05-11 22:41:00,2024-05-12 01:41:00,2024-05-11 18:41:00
42,42,37,delivered,2024-10-19 12:23:37,2024-10-19 12:23:37,2024-10-19 10:23:37
43,43,45,out for delivery,2025-01-10 22:08:24,2025-01-10 22:08:24,2025-01-10 20:08:24
44,44,8,delivered,2024-05-14 09:41:00,2024-05-14 12:41:00,2024-05-14 06:41:00
45,45,23,assigned,2024-04-23 23:52:17,2024-04-24 02:52:17,2024-04-23 19:52:17
46,46,38,delivered,2024-10-31 16:17:02,2024-10-31 19:17:02,2024-10-31 12:17:02
47,47,16,out for delivery,2024-11-09 10:55:43,2024-11-09 11:55:43,2024-11-09 08:55:43
48,48,40,out for delivery,2024-09-03 02:32:16,2024-09-03 03:32:16,2024-09-02 23:32:16
49,49,27,out for delivery,2024-04-04 12:19:06,2024-04-04 13:19:06,2024-04-04 06:19:06
50,50,28,assigned,2024-04-18 02:53:11,2024-04-18 05:53:11,2024-04-17 20:53:11
51,51,2,out for delivery,2024-11-16 16:23:07,2024-11-16 19:23:07,2024-11-16 13:23:07
52,52,39,out for delivery,2024-07-06 08:16:55,2024-07-06 09:16:55,2024-07-06 05:16:55
53,53,5,delivered,2024-04-19 16:05:28,2024-04-19 19:05:28,2024-04-19 13:05:28
54,54,1,assigned,2024-07-16 08:31:31,2024-07-16 08:31:31,2024-07-16 05:31:31
55,55,20,delivered,2024-10-01 02:33:28,2024-10-01 05:33:28,2024-09-30 20:33:28
56,56,17,delivered,2024-09-11 05:56:39,2024-09-11 07:56:39,2024-09-10 23:56:39
57,57,47,assigned,2024-10-25 05:27:09,2024-10-25 07:27:09,2024-10-25 00:27:09
58,58,46,assigned,2024-06-25 05:06:24,2024-06-25 06:06:24,2024-06-25 01:06:24
59,59,45,delivered,2024-05-07 02:15:53,2024-05-07 04:15:53,2024-05-06 21:15:53
60,60,3,assigned,2024-09-23 00:28:17,2024-09-23 00:28:17,2024-09-22 18:28:17
61,61,15,assigned,2025-04-04 12:23:52,2025-04-04 13:23:52,2025-04-04 10:23:52
62,62,19,out for delivery,2024-10-28 06:15:46,2024-10-28 08:15:46,2024-10-28 03:15:46
63,63,34,delivered,2024-12-03 19:02:29,2024-12-03 21:02:29,2024-12-03 17:02:29
64,64,36,delivered,2025-01-20 23:12:58,2025-01-21 01:12:58,2025-01-20 21:12:58
65,65,37,delivered,2024-08-28 15:11:55,2024-08-28 15:11:55,2024-08-28 13:11:55
66,66,40,out for delivery,2024-11-25 17:02:45,2024-11-25 20:02:45,2024-11-25 11:02:45
67,67,3,out for delivery,2025-01-08 17:51:28,2025-01-08 17:51:28,2025-01-08 11:51:28
