OrderID,UserID,OrderStatus,TotalAmount,CreatedAt
1,107,pending,1393.18,2024-12-04 00:01:14
2,458,delivered,3289.37,2025-01-19 16:14:45
3,154,dispatched,3510.15,2024-11-12 11:02:14
4,449,delivered,4109.19,2024-09-17 20:51:03
5,414,dispatched,3410.72,2024-05-04 03:13:45
6,431,delivered,6428.13,2024-12-17 19:04:59
7,206,delivered,4782.21,2025-02-11 01:51:20
8,457,delivered,5917.18,2024-07-10 14:30:20
9,295,delivered,6774.8,2024-09-25 19:17:44
10,69,pending,9543.7,2024-10-29 14:15:13
11,334,pending,4178.21,2025-02-18 04:40:03
12,432,pending,4474.66,2024-06-28 22:25:58
13,475,delivered,1835.55,2024-10-20 17:21:12
14,291,delivered,8000.64,2024-07-30 17:26:19
15,459,delivered,3695.25,2024-09-22 10:38:56
16,193,dispatched,1276.8,2024-05-30 02:02:22
17,269,pending,3592.13,2024-09-28 21:49:24
18,62,dispatched,3407.27,2025-01-14 17:57:30
19,499,dispatched,2628.2,2024-10-10 03:22:47
20,240,dispatched,2154.41,2025-03-23 13:30:46
21,160,delivered,8788.98,2024-05-28 01:34:20
22,115,dispatched,9666.05,2024-12-15 13:19:45
23,206,dispatched,4880.66,2025-04-05 13:18:26
24,447,pending,5076.37,2024-11-14 23:44:44
25,89,pending,7248.95,2024-12-11 06:28:53
26,34,delivered,7514.16,2024-05-21 02:07:58
27,117,dispatched,1730.6,2024-06-20 07:05:03
28,163,delivered,392.8,2024-08-16 07:13:17
29,133,pending,2906.29,2024-10-02 02:23:15
30,19,pending,1279.85,2024-06-27 14:07:49
31,232,delivered,2407.43,2024-04-11 05:57:30
32,447,dispatched,2518.52,2024-06-07 08:57:57
33,456,dispatched,7352.28,2024-10-29 03:57:01
34,307,dispatched,6687.08,2025-01-10 05:21:33
35,61,pending,6879.45,2024-05-11 12:54:44
36,221,pending,4251.21,2025-01-28 03:59:07
37,138,dispatched,9336.48,2024-04-21 04:48:45
38,168,delivered,6492.79,2024-11-08 09:29:59
39,255,pending,9278.05,2024-09-25 17:18:12
40,395,pending,6757.93,2025-01-24 12:29:52
41,189,delivered,1655.93,2024-05-11 14:41:00
42,445,dispatched,8062.62,2024-10-19 07:23:37
43,199,delivered,9149.27,2025-01-10 19:08:24
44,306,dispatched,9819.95,2024-05-14 03:41:00
45,126,dispatched,7411.81,2024-04-23 18:52:17
46,482,dispatched,8896.1,2024-10-31 11:17:02
47,429,dispatched,628.67,2024-11-09 04:55:43
48,336,dispatched,5520.28,2024-09-02 18:32:16
49,428,delivered,1441.3,2024-04-04 00:19:06
50,358,dispatched,4956.0,2024-04-17 19:53:11
51,207,delivered,8151.1,2024-11-16 11:23:07
52,33,dispatched,7922.48,2024-07-05 23:16:55
53,195,delivered,3390.72,2024-04-19 07:05:28
54,212,dispatched,480.7,2024-07-16 03:31:31
