ProductID,Name,Description,Price,StockLevel,Category,ImageURL
1,Samsung Galaxy S24,Labore mollitia repellendus neque iusto beatae quidem tempora rem alias.,683.91,0,Fashion,https://example.com/images/1.jpg
2,Boat Earbuds,Eos sapiente inventore adipisci.,373.34,24,Electronics,https://example.com/images/2.jpg
3,Fabindia Kurta,Sequi voluptatibus ex ex delectus quasi animi.,1093.52,33,Electronics,https://example.com/images/3.jpg
4,Amul Butter,Libero voluptatum fugiat odio nihil autem beatae ipsum.,3237.03,91,Food,https://example.com/images/4.jpg
5,Ray-Ban Sunglasses,Nihil doloremque odit dolorum voluptate vel.,4563.57,80,Fashion,https://example.com/images/5.jpg
6,Samsung Galaxy S24,Excepturi voluptate eos laboriosam alias delectus consequatur.,960.78,38,Food,https://example.com/images/6.jpg
7,Levi's Jeans,Delectus minus modi enim dolor voluptas vitae facilis excepturi doloribus.,995.94,90,Food,https://example.com/images/7.jpg
8,Boat Earbuds,Reprehenderit sunt eos magni.,2398.33,47,Food,https://example.com/images/8.jpg
9,Boat Earbuds,Architecto molestias necessitatibus pariatur impedit fuga numquam.,3371.49,44,Food,https://example.com/images/9.jpg
10,Wings of Fire,Sint ea vero odio aliquid deleniti architecto ut odit.,1583.71,30,Electronics,https://example.com/images/10.jpg
11,Levi's Jeans,Itaque accusamus libero dignissimos harum magnam in amet nulla.,3782.51,16,Food,https://example.com/images/11.jpg
12,Fabindia Kurta,Provident cum odio occaecati dolorum.,4169.33,68,Fashion,https://example.com/images/12.jpg
13,MTR Ready Meals,Rem libero aliquid tempore reprehenderit.,4033.55,79,Food,https://example.com/images/13.jpg
14,Amul Butter,Non fugit corporis reprehenderit accusamus sed laboriosam similique.,866.09,38,Electronics,https://example.com/images/14.jpg
15,OnePlus TV,Inventore sed perspiciatis dolores officia reprehenderit vel.,1680.91,65,Books,https://example.com/images/15.jpg
16,Think and Grow Rich,Repudiandae quisquam modi doloribus et voluptatem dignissimos dolore repudiandae fugiat.,1287.27,92,Fashion,https://example.com/images/16.jpg
17,Rich Dad Poor Dad,Provident nobis doloremque autem alias dolorem.,1223.87,20,Food,https://example.com/images/17.jpg
18,Kissan Jam,Nihil possimus neque est hic.,1287.17,22,Food,https://example.com/images/18.jpg
19,Nestle Maggi,Aperiam ad aliquam ea voluptate consequuntur.,3977.6,42,Books,https://example.com/images/19.jpg
20,Fabindia Kurta,Ipsam id expedita explicabo veritatis beatae.,826.44,23,Food,https://example.com/images/20.jpg
21,Nike Running Shoes,Nobis totam quia repudiandae aperiam blanditiis aspernatur iusto officiis.,2469.66,98,Electronics,https://example.com/images/21.jpg
22,Ray-Ban Sunglasses,Incidunt nam veniam totam repellat iusto eaque doloribus minima ratione.,155.1,77,Books,https://example.com/images/22.jpg
23,OnePlus TV,Nesciunt voluptatem neque laudantium architecto tempore sit dolorem quae reiciendis.,3125.16,82,Books,https://example.com/images/23.jpg
24,MTR Ready Meals,Perferendis ullam vel neque tenetur.,4637.42,69,Food,https://example.com/images/24.jpg
25,Levi's Jeans,Porro unde iste voluptatum sit quae temporibus.,4346.32,71,Books,https://example.com/images/25.jpg
26,Aashirvaad Atta,Repellendus mollitia ea ullam iste provident.,3544.07,47,Food,https://example.com/images/26.jpg
27,Samsung Galaxy S24,Mollitia saepe harum cupiditate itaque.,3598.49,45,Electronics,https://example.com/images/27.jpg
28,Think and Grow Rich,Possimus nostrum eaque in praesentium.,2330.97,37,Electronics,https://example.com/images/28.jpg
29,The Secret,Perspiciatis nobis non consequatur voluptas.,3880.2,54,Books,https://example.com/images/29.jpg
30,Aashirvaad Atta,Provident ex voluptatem ratione suscipit veniam occaecati magni.,1435.03,87,Electronics,https://example.com/images/30.jpg
31,Samsung Galaxy S24,Aperiam esse dignissimos ipsa quos.,376.97,31,Electronics,https://example.com/images/31.jpg
32,Fabindia Kurta,Odit consectetur exercitationem iure facere odit.,1011.1,18,Books,https://example.com/images/32.jpg
33,Sony Headphones,Occaecati maiores et pariatur cum sequi nemo.,2386.87,100,Books,https://example.com/images/33.jpg
34,The Alchemist,Rerum fugiat omnis repellat perferendis minima consequuntur nemo odio nulla.,3288.68,92,Books,https://example.com/images/34.jpg
35,Fabindia Kurta,Laboriosam quisquam ullam fugiat qui qui placeat provident ad expedita.,1933.79,38,Fashion,https://example.com/images/35.jpg
36,iPhone 15 Pro,Deleniti inventore deserunt optio rem illo pariatur.,1624.26,85,Electronics,https://example.com/images/36.jpg
37,Biba Dress,Dolorum eligendi quis fugiat earum.,4728.89,75,Food,https://example.com/images/37.jpg
38,Levi's Jeans,Aut dolorem perspiciatis accusantium adipisci.,3775.09,61,Fashion,https://example.com/images/38.jpg
39,iPhone 15 Pro,Autem iste quas earum debitis atque quaerat temporibus cum magni natus.,4596.96,82,Fashion,https://example.com/images/39.jpg
40,The Secret,Impedit error facilis quis.,1385.15,26,Food,https://example.com/images/40.jpg
41,Nestle Maggi,Adipisci molestiae perferendis impedit quos ipsum quidem porro pariatur pariatur.,2059.82,34,Fashion,https://example.com/images/41.jpg
42,Nike Running Shoes,Explicabo mollitia ipsam animi minus.,2939.83,0,Electronics,https://example.com/images/42.jpg
43,MTR Ready Meals,Quidem labore dolores omnis expedita.,1397.57,19,Food,https://example.com/images/43.jpg
44,Biba Dress,Fugit ullam a similique cumque non earum repellat.,2098.43,34,Food,https://example.com/images/44.jpg
45,Biba Dress,Earum nulla quidem in laborum eaque quidem.,3758.44,80,Books,https://example.com/images/45.jpg
46,Levi's Jeans,Totam numquam commodi expedita iusto laborum placeat repellat iusto impedit.,1687.14,81,Fashion,https://example.com/images/46.jpg
47,Amul Butter,Cumque natus sint minus non tempore.,2535.94,63,Fashion,https://example.com/images/47.jpg
48,MTR Ready Meals,Doloribus earum tenetur ex eaque.,3278.46,61,Food,https://example.com/images/48.jpg
49,Aashirvaad Atta,Distinctio similique delectus nostrum ad.,1088.43,87,Electronics,https://example.com/images/49.jpg
50,The Secret,Nesciunt necessitatibus cum voluptates corporis omnis.,4839.26,55,Fashion,https://example.com/images/50.jpg
51,iPhone 15 Pro,Eum expedita vel nobis quod.,918.45,26,Books,https://example.com/images/51.jpg
52,OnePlus TV,Ipsum eveniet deleniti quaerat nihil nulla aut harum.,186.48,38,Electronics,https://example.com/images/52.jpg
53,Ray-Ban Sunglasses,Ex aut voluptatem cupiditate autem temporibus minus debitis.,4332.34,9,Food,https://example.com/images/53.jpg
54,MTR Ready Meals,Ex quia corrupti itaque minima.,2679.96,35,Electronics,https://example.com/images/54.jpg
55,Boat Earbuds,Dolorem repudiandae placeat placeat nulla numquam tempora accusantium minima culpa.,1515.52,80,Electronics,https://example.com/images/55.jpg
56,Levi's Jeans,Blanditiis iusto sit natus impedit doloremque doloribus.,999.05,28,Electronics,https://example.com/images/56.jpg
57,Rich Dad Poor Dad,Laborum nostrum mollitia voluptas ut amet voluptatum.,3410.38,66,Electronics,https://example.com/images/57.jpg
58,The Secret,Incidunt eos deleniti totam dicta.,4211.5,32,Books,https://example.com/images/58.jpg
